Gene,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12
GENE_464,66,52,38,24,97,83,69,55,41,17,3,86
GENE_465,69,57,45,33,11,96,84,72,60,38,26,14
GENE_466,72,62,52,42,22,12,2,89,79,59,49,39
GENE_467,75,67,59,51,33,25,17,9,1,80,72,64
GENE_468,78,72,66,60,44,38,32,26,20,4,95,89
GENE_469,74,63,52,41,20,9,95,84,73,52,41,30
GENE_470,77,68,59,50,31,22,13,4,92,73,64,55
GENE_471,80,73,66,59,42,35,28,21,14,94,87,80
GENE_472,83,78,73,68,53,48,43,38,33,18,13,8
GENE_473,86,83,80,77,64,61,58,55,52,39,36,33
GENE_474,89,88,87,86,75,74,73,72,71,60,59,58
GENE_475,92,93,94,95,86,87,88,89,90,81,82,83
GENE_476,88,84,80,76,62,58,54,50,46,32,28,24
GENE_477,91,89,87,85,73,71,69,67,65,53,51,49
GENE_478,94,94,94,94,84,84,84,84,84,74,74,74
GENE_479,97,2,4,6,95,97,2,4,6,95,97,2
GENE_480,3,7,11,15,9,13,17,21,25,19,23,27
GENE_481,6,12,18,24,20,26,32,38,44,40,46,52
GENE_482,9,17,25,33,31,39,47,55,63,61,69,77
GENE_483,5,8,11,14,7,10,13,16,19,12,15,18
GENE_484,8,13,18,23,18,23,28,33,38,33,38,43
GENE_485,11,18,25,32,29,36,43,50,57,54,61,68
GENE_486,14,23,32,41,40,49,58,67,76,75,84,93
GENE_487,17,28,39,50,51,62,73,84,95,96,10,21
GENE_488,20,33,46,59,62,75,88,4,17,20,33,46
GENE_489,23,38,53,68,73,88,6,21,36,41,56,71
GENE_490,19,29,39,49,49,59,69,79,89,89,2,12
GENE_491,22,34,46,58,60,72,84,96,11,13,25,37
GENE_492,25,39,53,67,71,85,2,16,30,34,48,62
GENE_493,28,44,60,76,82,1,17,33,49,55,71,87
GENE_494,31,49,67,85,93,14,32,50,68,76,94,15
GENE_495,34,54,74,94,7,27,47,67,87,97,20,40
GENE_496,37,59,81,6,18,40,62,84,9,21,43,65
GENE_497,33,50,67,84,91,11,28,45,62,69,86,6
GENE_498,36,55,74,93,5,24,43,62,81,90,12,31
GENE_499,39,60,81,5,16,37,58,79,3,14,35,56
GENE_500,42,65,88,14,27,50,73,96,22,35,58,81
GENE_501,45,70,95,23,38,63,88,16,41,56,81,9
GENE_502,48,75,5,32,49,76,6,33,60,77,7,34
GENE_503,51,80,12,41,60,89,21,50,79,1,30,59
GENE_504,47,71,95,22,36,60,84,11,35,49,73,97
GENE_505,50,76,5,31,47,73,2,28,54,70,96,25
GENE_506,53,81,12,40,58,86,17,45,73,91,22,50
GENE_507,56,86,19,49,69,2,32,62,92,15,45,75
GENE_508,59,91,26,58,80,15,47,79,14,36,68,3
GENE_509,62,96,33,67,91,28,62,96,33,57,91,28
GENE_510,65,4,40,76,5,41,77,16,52,78,17,53
GENE_511,61,92,26,57,78,12,43,74,8,29,60,91
GENE_512,64,97,33,66,89,25,58,91,27,50,83,19
GENE_513,67,5,40,75,3,38,73,11,46,71,9,44
GENE_514,70,10,47,84,14,51,88,28,65,92,32,69
GENE_515,73,15,54,93,25,64,6,45,84,16,55,94
GENE_516,76,20,61,5,36,77,21,62,6,37,78,22
GENE_517,79,25,68,14,47,90,36,79,25,58,4,47
GENE_518,75,16,54,92,23,61,2,40,78,9,47,85
GENE_519,78,21,61,4,34,74,17,57,97,30,70,13
GENE_520,81,26,68,13,45,87,32,74,19,51,93,38
GENE_521,84,31,75,22,56,3,47,91,38,72,19,63
GENE_522,87,36,82,31,67,16,62,11,57,93,42,88
GENE_523,90,41,89,40,78,29,77,28,76,17,65,16
GENE_524,93,46,96,49,89,42,92,45,95,38,88,41
GENE_525,89,37,82,30,65,13,58,6,51,86,34,79
GENE_526,92,42,89,39,76,26,73,23,70,10,57,7
GENE_527,95,47,96,48,87,39,88,40,89,31,80,32
GENE_528,1,52,6,57,1,52,6,57,11,52,6,57
GENE_529,4,57,13,66,12,65,21,74,30,73,29,82
GENE_530,7,62,20,75,23,78,36,91,49,94,52,10
GENE_531,10,67,27,84,34,91,51,11,68,18,75,35
GENE_532,6,58,13,65,10,62,17,69,24,66,21,73
GENE_533,9,63,20,74,21,75,32,86,43,87,44,1
GENE_534,12,68,27,83,32,88,47,6,62,11,67,26
GENE_535,15,73,34,92,43,4,62,23,81,32,90,51
GENE_536,18,78,41,4,54,17,77,40,3,53,16,76
GENE_537,21,83,48,13,65,30,92,57,22,74,39,4
GENE_538,24,88,55,22,76,43,10,74,41,95,62,29
GENE_539,20,79,41,3,52,14,73,35,94,46,8,67
GENE_540,23,84,48,12,63,27,88,52,16,67,31,92
GENE_541,26,89,55,21,74,40,6,69,35,88,54,20
GENE_542,29,94,62,30,85,53,21,86,54,12,77,45
GENE_543,32,2,69,39,96,66,36,6,73,33,3,70
GENE_544,35,7,76,48,10,79,51,23,92,54,26,95
GENE_545,38,12,83,57,21,92,66,40,14,75,49,23
GENE_546,34,3,69,38,94,63,32,1,67,26,92,61
GENE_547,37,8,76,47,8,76,47,18,86,47,18,86
GENE_548,40,13,83,56,19,89,62,35,8,68,41,14
GENE_549,43,18,90,65,30,5,77,52,27,89,64,39
GENE_550,46,23,97,74,41,18,92,69,46,13,87,64
GENE_551,49,28,7,83,52,31,10,86,65,34,13,89
GENE_552,52,33,14,92,63,44,25,6,84,55,36,17
GENE_553,48,24,97,73,39,15,88,64,40,6,79,55
GENE_554,51,29,7,82,50,28,6,81,59,27,5,80
GENE_555,54,34,14,91,61,41,21,1,78,48,28,8
GENE_556,57,39,21,3,72,54,36,18,97,69,51,33
GENE_557,60,44,28,12,83,67,51,35,19,90,74,58
GENE_558,63,49,35,21,94,80,66,52,38,14,97,83
GENE_559,66,54,42,30,8,93,81,69,57,35,23,11
GENE_560,62,45,28,11,81,64,47,30,13,83,66,49
GENE_561,65,50,35,20,92,77,62,47,32,7,89,74
GENE_562,68,55,42,29,6,90,77,64,51,28,15,2
GENE_563,71,60,49,38,17,6,92,81,70,49,38,27
GENE_564,74,65,56,47,28,19,10,1,89,70,61,52
GENE_565,77,70,63,56,39,32,25,18,11,91,84,77
GENE_566,80,75,70,65,50,45,40,35,30,15,10,5
GENE_567,76,66,56,46,26,16,6,93,83,63,53,43
GENE_568,79,71,63,55,37,29,21,13,5,84,76,68
GENE_569,82,76,70,64,48,42,36,30,24,8,2,93
GENE_570,85,81,77,73,59,55,51,47,43,29,25,21
GENE_571,88,86,84,82,70,68,66,64,62,50,48,46
GENE_572,91,91,91,91,81,81,81,81,81,71,71,71
GENE_573,94,96,1,3,92,94,96,1,3,92,94,96
GENE_574,90,87,84,81,68,65,62,59,56,43,40,37
GENE_575,93,92,91,90,79,78,77,76,75,64,63,62
GENE_576,96,97,1,2,90,91,92,93,94,85,86,87
GENE_577,2,5,8,11,4,7,10,13,16,9,12,15
GENE_578,5,10,15,20,15,20,25,30,35,30,35,40
GENE_579,8,15,22,29,26,33,40,47,54,51,58,65
GENE_580,11,20,29,38,37,46,55,64,73,72,81,90
GENE_581,7,11,15,19,13,17,21,25,29,23,27,31
GENE_582,10,16,22,28,24,30,36,42,48,44,50,56
GENE_583,13,21,29,37,35,43,51,59,67,65,73,81
GENE_584,16,26,36,46,46,56,66,76,86,86,96,9
GENE_585,19,31,43,55,57,69,81,93,8,10,22,34
GENE_586,22,36,50,64,68,82,96,13,27,31,45,59
GENE_587,25,41,57,73,79,95,14,30,46,52,68,84
GENE_588,21,32,43,54,55,66,77,88,2,3,14,25
GENE_589,24,37,50,63,66,79,92,8,21,24,37,50
GENE_590,27,42,57,72,77,92,10,25,40,45,60,75
GENE_591,30,47,64,81,88,8,25,42,59,66,83,3
GENE_592,33,52,71,90,2,21,40,59,78,87,9,28
GENE_593,36,57,78,2,13,34,55,76,97,11,32,53
GENE_594,39,62,85,11,24,47,70,93,19,32,55,78
GENE_595,35,53,71,89,97,18,36,54,72,80,1,19
GENE_596,38,58,78,1,11,31,51,71,91,4,24,44
GENE_597,41,63,85,10,22,44,66,88,13,25,47,69
GENE_598,44,68,92,19,33,57,81,8,32,46,70,94
GENE_599,47,73,2,28,44,70,96,25,51,67,93,22
GENE_600,50,78,9,37,55,83,14,42,70,88,19,47
GENE_601,53,83,16,46,66,96,29,59,89,12,42,72
GENE_602,49,74,2,27,42,67,92,20,45,60,85,13
GENE_603,52,79,9,36,53,80,10,37,64,81,11,38
GENE_604,55,84,16,45,64,93,25,54,83,5,34,63
GENE_605,58,89,23,54,75,9,40,71,5,26,57,88
GENE_606,61,94,30,63,86,22,55,88,24,47,80,16
GENE_607,64,2,37,72,97,35,70,8,43,68,6,41
GENE_608,67,7,44,81,11,48,85,25,62,89,29,66
GENE_609,63,95,30,62,84,19,51,83,18,40,72,7
GENE_610,66,3,37,71,95,32,66,3,37,61,95,32
GENE_611,69,8,44,80,9,45,81,20,56,82,21,57
GENE_612,72,13,51,89,20,58,96,37,75,6,44,82
GENE_613,75,18,58,1,31,71,14,54,94,27,67,10
GENE_614,78,23,65,10,42,84,29,71,16,48,90,35
GENE_615,81,28,72,19,53,97,44,88,35,69,16,60
GENE_616,77,19,58,97,29,68,10,49,88,20,59,1
GENE_617,80,24,65,9,40,81,25,66,10,41,82,26
GENE_618,83,29,72,18,51,94,40,83,29,62,8,51
GENE_619,86,34,79,27,62,10,55,3,48,83,31,76
GENE_620,89,39,86,36,73,23,70,20,67,7,54,4
GENE_621,92,44,93,45,84,36,85,37,86,28,77,29
GENE_622,95,49,3,54,95,49,3,54,8,49,3,54
GENE_623,91,40,86,35,71,20,66,15,61,97,46,92
GENE_624,94,45,93,44,82,33,81,32,80,21,69,20
GENE_625,97,50,3,53,93,46,96,49,2,42,92,45
GENE_626,3,55,10,62,7,59,14,66,21,63,18,70
GENE_627,6,60,17,71,18,72,29,83,40,84,41,95
GENE_628,9,65,24,80,29,85,44,3,59,8,64,23
GENE_629,12,70,31,89,40,1,59,20,78,29,87,48
GENE_630,8,61,17,70,16,69,25,78,34,77,33,86
GENE_631,11,66,24,79,27,82,40,95,53,1,56,14
GENE_632,14,71,31,88,38,95,55,15,72,22,79,39
GENE_633,17,76,38,97,49,11,70,32,91,43,5,64
GENE_634,20,81,45,9,60,24,85,49,13,64,28,89
GENE_635,23,86,52,18,71,37,3,66,32,85,51,17
GENE_636,26,91,59,27,82,50,18,83,51,9,74,42
GENE_637,22,82,45,8,58,21,81,44,7,57,20,80
GENE_638,25,87,52,17,69,34,96,61,26,78,43,8
GENE_639,28,92,59,26,80,47,14,78,45,2,66,33
GENE_640,31,97,66,35,91,60,29,95,64,23,89,58
GENE_641,34,5,73,44,5,73,44,15,83,44,15,83
GENE_642,37,10,80,53,16,86,59,32,5,65,38,11
GENE_643,40,15,87,62,27,2,74,49,24,86,61,36
GENE_644,36,6,73,43,3,70,40,10,77,37,7,74
GENE_645,39,11,80,52,14,83,55,27,96,58,30,2
GENE_646,42,16,87,61,25,96,70,44,18,79,53,27
GENE_647,45,21,94,70,36,12,85,61,37,3,76,52
GENE_648,48,26,4,79,47,25,3,78,56,24,2,77
GENE_649,51,31,11,88,58,38,18,95,75,45,25,5
GENE_650,54,36,18,97,69,51,33,15,94,66,48,30
GENE_651,50,27,4,78,45,22,96,73,50,17,91,68
GENE_652,53,32,11,87,56,35,14,90,69,38,17,93
GENE_653,56,37,18,96,67,48,29,10,88,59,40,21
GENE_654,59,42,25,8,78,61,44,27,10,80,63,46
GENE_655,62,47,32,17,89,74,59,44,29,4,86,71
GENE_656,65,52,39,26,3,87,74,61,48,25,12,96
GENE_657,68,57,46,35,14,3,89,78,67,46,35,24
GENE_658,64,48,32,16,87,71,55,39,23,94,78,62
GENE_659,67,53,39,25,1,84,70,56,42,18,4,87
GENE_660,70,58,46,34,12,97,85,73,61,39,27,15
GENE_661,73,63,53,43,23,13,3,90,80,60,50,40
GENE_662,76,68,60,52,34,26,18,10,2,81,73,65
GENE_663,79,73,67,61,45,39,33,27,21,5,96,90
GENE_664,82,78,74,70,56,52,48,44,40,26,22,18
GENE_665,78,69,60,51,32,23,14,5,93,74,65,56
GENE_666,81,74,67,60,43,36,29,22,15,95,88,81
GENE_667,84,79,74,69,54,49,44,39,34,19,14,9
GENE_668,87,84,81,78,65,62,59,56,53,40,37,34
GENE_669,90,89,88,87,76,75,74,73,72,61,60,59
GENE_670,93,94,95,96,87,88,89,90,91,82,83,84
GENE_671,96,2,5,8,1,4,7,10,13,6,9,12
GENE_672,92,90,88,86,74,72,70,68,66,54,52,50
GENE_673,95,95,95,95,85,85,85,85,85,75,75,75
GENE_674,1,3,5,7,96,1,3,5,7,96,1,3
GENE_675,4,8,12,16,10,14,18,22,26,20,24,28
GENE_676,7,13,19,25,21,27,33,39,45,41,47,53
GENE_677,10,18,26,34,32,40,48,56,64,62,70,78
GENE_678,13,23,33,43,43,53,63,73,83,83,93,6
GENE_679,9,14,19,24,19,24,29,34,39,34,39,44
GENE_680,12,19,26,33,30,37,44,51,58,55,62,69
GENE_681,15,24,33,42,41,50,59,68,77,76,85,94
GENE_682,18,29,40,51,52,63,74,85,96,97,11,22
GENE_683,21,34,47,60,63,76,89,5,18,21,34,47
GENE_684,24,39,54,69,74,89,7,22,37,42,57,72
GENE_685,27,44,61,78,85,5,22,39,56,63,80,97
GENE_686,23,35,47,59,61,73,85,97,12,14,26,38
GENE_687,26,40,54,68,72,86,3,17,31,35,49,63
GENE_688,29,45,61,77,83,2,18,34,50,56,72,88
GENE_689,32,50,68,86,94,15,33,51,69,77,95,16
GENE_690,35,55,75,95,8,28,48,68,88,1,21,41
GENE_691,38,60,82,7,19,41,63,85,10,22,44,66
GENE_692,41,65,89,16,30,54,78,5,29,43,67,91
GENE_693,37,56,75,94,6,25,44,63,82,91,13,32
GENE_694,40,61,82,6,17,38,59,80,4,15,36,57
GENE_695,43,66,89,15,28,51,74,97,23,36,59,82
GENE_696,46,71,96,24,39,64,89,17,42,57,82,10
GENE_697,49,76,6,33,50,77,7,34,61,78,8,35
GENE_698,52,81,13,42,61,90,22,51,80,2,31,60
GENE_699,55,86,20,51,72,6,37,68,2,23,54,85
GENE_700,51,77,6,32,48,74,3,29,55,71,97,26
GENE_701,54,82,13,41,59,87,18,46,74,92,23,51
GENE_702,57,87,20,50,70,3,33,63,93,16,46,76
GENE_703,60,92,27,59,81,16,48,80,15,37,69,4
GENE_704,63,97,34,68,92,29,63,97,34,58,92,29
GENE_705,66,5,41,77,6,42,78,17,53,79,18,54
GENE_706,69,10,48,86,17,55,93,34,72,3,41,79
GENE_707,65,1,34,67,90,26,59,92,28,51,84,20
GENE_708,68,6,41,76,4,39,74,12,47,72,10,45
GENE_709,71,11,48,85,15,52,89,29,66,93,33,70
GENE_710,74,16,55,94,26,65,7,46,85,17,56,95
GENE_711,77,21,62,6,37,78,22,63,7,38,79,23
GENE_712,80,26,69,15,48,91,37,80,26,59,5,48
GENE_713,83,31,76,24,59,7,52,97,45,80,28,73
GENE_714,79,22,62,5,35,75,18,58,1,31,71,14
GENE_715,82,27,69,14,46,88,33,75,20,52,94,39
GENE_716,85,32,76,23,57,4,48,92,39,73,20,64
GENE_717,88,37,83,32,68,17,63,12,58,94,43,89
GENE_718,91,42,90,41,79,30,78,29,77,18,66,17
GENE_719,94,47,97,50,90,43,93,46,96,39,89,42
GENE_720,97,52,7,59,4,56,11,63,18,60,15,67
GENE_721,93,43,90,40,77,27,74,24,71,11,58,8
GENE_722,96,48,97,49,88,40,89,41,90,32,81,33
GENE_723,2,53,7,58,2,53,7,58,12,53,7,58
GENE_724,5,58,14,67,13,66,22,75,31,74,30,83
GENE_725,8,63,21,76,24,79,37,92,50,95,53,11
GENE_726,11,68,28,85,35,92,52,12,69,19,76,36
GENE_727,14,73,35,94,46,8,67,29,88,40,2,61
GENE_728,10,64,21,75,22,76,33,87,44,88,45,2
GENE_729,13,69,28,84,33,89,48,7,63,12,68,27
GENE_730,16,74,35,93,44,5,63,24,82,33,91,52
GENE_731,19,79,42,5,55,18,78,41,4,54,17,77
GENE_732,22,84,49,14,66,31,93,58,23,75,40,5
GENE_733,25,89,56,23,77,44,11,75,42,96,63,30
GENE_734,28,94,63,32,88,57,26,92,61,20,86,55
GENE_735,24,85,49,13,64,28,89,53,17,68,32,93
GENE_736,27,90,56,22,75,41,7,70,36,89,55,21
GENE_737,30,95,63,31,86,54,22,87,55,13,78,46
GENE_738,33,3,70,40,97,67,37,7,74,34,4,71
GENE_739,36,8,77,49,11,80,52,24,93,55,27,96
GENE_740,39,13,84,58,22,93,67,41,15,76,50,24
GENE_741,42,18,91,67,33,9,82,58,34,97,73,49
GENE_742,38,9,77,48,9,77,48,19,87,48,19,87
GENE_743,41,14,84,57,20,90,63,36,9,69,42,15
GENE_744,44,19,91,66,31,6,78,53,28,90,65,40
GENE_745,47,24,1,75,42,19,93,70,47,14,88,65
GENE_746,50,29,8,84,53,32,11,87,66,35,14,90
GENE_747,53,34,15,93,64,45,26,7,85,56,37,18
GENE_748,56,39,22,5,75,58,41,24,7,77,60,43
GENE_749,52,30,8,83,51,29,7,82,60,28,6,81
GENE_750,55,35,15,92,62,42,22,2,79,49,29,9
GENE_751,58,40,22,4,73,55,37,19,1,70,52,34
GENE_752,61,45,29,13,84,68,52,36,20,91,75,59
GENE_753,64,50,36,22,95,81,67,53,39,15,1,84
GENE_754,67,55,43,31,9,94,82,70,58,36,24,12
GENE_755,70,60,50,40,20,10,97,87,77,57,47,37
GENE_756,66,51,36,21,93,78,63,48,33,8,90,75
GENE_757,69,56,43,30,7,91,78,65,52,29,16,3
GENE_758,72,61,50,39,18,7,93,82,71,50,39,28
GENE_759,75,66,57,48,29,20,11,2,90,71,62,53
GENE_760,78,71,64,57,40,33,26,19,12,92,85,78
GENE_761,81,76,71,66,51,46,41,36,31,16,11,6
GENE_762,84,81,78,75,62,59,56,53,50,37,34,31
GENE_763,80,72,64,56,38,30,22,14,6,85,77,69
GENE_764,83,77,71,65,49,43,37,31,25,9,3,94
GENE_765,86,82,78,74,60,56,52,48,44,30,26,22
GENE_766,89,87,85,83,71,69,67,65,63,51,49,47
GENE_767,92,92,92,92,82,82,82,82,82,72,72,72
GENE_768,95,97,2,4,93,95,97,2,4,93,95,97
GENE_769,1,5,9,13,7,11,15,19,23,17,21,25
GENE_770,94,93,92,91,80,79,78,77,76,65,64,63
GENE_771,97,1,2,3,91,92,93,94,95,86,87,88
GENE_772,3,6,9,12,5,8,11,14,17,10,13,16
GENE_773,6,11,16,21,16,21,26,31,36,31,36,41
GENE_774,9,16,23,30,27,34,41,48,55,52,59,66
GENE_775,12,21,30,39,38,47,56,65,74,73,82,91
GENE_776,15,26,37,48,49,60,71,82,93,94,8,19
GENE_777,11,17,23,29,25,31,37,43,49,45,51,57
GENE_778,14,22,30,38,36,44,52,60,68,66,74,82
GENE_779,17,27,37,47,47,57,67,77,87,87,97,10
GENE_780,20,32,44,56,58,70,82,94,9,11,23,35
GENE_781,23,37,51,65,69,83,97,14,28,32,46,60
GENE_782,26,42,58,74,80,96,15,31,47,53,69,85
GENE_783,29,47,65,83,91,12,30,48,66,74,92,13
GENE_784,25,38,51,64,67,80,93,9,22,25,38,51
GENE_785,28,43,58,73,78,93,11,26,41,46,61,76
GENE_786,31,48,65,82,89,9,26,43,60,67,84,4
GENE_787,34,53,72,91,3,22,41,60,79,88,10,29
GENE_788,37,58,79,3,14,35,56,77,1,12,33,54
GENE_789,40,63,86,12,25,48,71,94,20,33,56,79
GENE_790,43,68,93,21,36,61,86,14,39,54,79,7
GENE_791,39,59,79,2,12,32,52,72,92,5,25,45
GENE_792,42,64,86,11,23,45,67,89,14,26,48,70
GENE_793,45,69,93,20,34,58,82,9,33,47,71,95
GENE_794,48,74,3,29,45,71,97,26,52,68,94,23
GENE_795,51,79,10,38,56,84,15,43,71,89,20,48
GENE_796,54,84,17,47,67,97,30,60,90,13,43,73
GENE_797,57,89,24,56,78,13,45,77,12,34,66,1
GENE_798,53,80,10,37,54,81,11,38,65,82,12,39
GENE_799,56,85,17,46,65,94,26,55,84,6,35,64
GENE_800,59,90,24,55,76,10,41,72,6,27,58,89
GENE_801,62,95,31,64,87,23,56,89,25,48,81,17
GENE_802,65,3,38,73,1,36,71,9,44,69,7,42
GENE_803,68,8,45,82,12,49,86,26,63,90,30,67
GENE_804,71,13,52,91,23,62,4,43,82,14,53,92
GENE_805,67,4,38,72,96,33,67,4,38,62,96,33
GENE_806,70,9,45,81,10,46,82,21,57,83,22,58
GENE_807,73,14,52,90,21,59,97,38,76,7,45,83
GENE_808,76,19,59,2,32,72,15,55,95,28,68,11
GENE_809,79,24,66,11,43,85,30,72,17,49,91,36
GENE_810,82,29,73,20,54,1,45,89,36,70,17,61
GENE_811,85,34,80,29,65,14,60,9,55,91,40,86
GENE_812,81,25,66,10,41,82,26,67,11,42,83,27
GENE_813,84,30,73,19,52,95,41,84,30,63,9,52
GENE_814,87,35,80,28,63,11,56,4,49,84,32,77
GENE_815,90,40,87,37,74,24,71,21,68,8,55,5
GENE_816,93,45,94,46,85,37,86,38,87,29,78,30
GENE_817,96,50,4,55,96,50,4,55,9,50,4,55
GENE_818,2,55,11,64,10,63,19,72,28,71,27,80
GENE_819,95,46,94,45,83,34,82,33,81,22,70,21
GENE_820,1,51,4,54,94,47,97,50,3,43,93,46
GENE_821,4,56,11,63,8,60,15,67,22,64,19,71
GENE_822,7,61,18,72,19,73,30,84,41,85,42,96
GENE_823,10,66,25,81,30,86,45,4,60,9,65,24
GENE_824,13,71,32,90,41,2,60,21,79,30,88,49
GENE_825,16,76,39,2,52,15,75,38,1,51,14,74
GENE_826,12,67,25,80,28,83,41,96,54,2,57,15
GENE_827,15,72,32,89,39,96,56,16,73,23,80,40
GENE_828,18,77,39,1,50,12,71,33,92,44,6,65
GENE_829,21,82,46,10,61,25,86,50,14,65,29,90
GENE_830,24,87,53,19,72,38,4,67,33,86,52,18
GENE_831,27,92,60,28,83,51,19,84,52,10,75,43
GENE_832,30,97,67,37,94,64,34,4,71,31,1,68
GENE_833,26,88,53,18,70,35,97,62,27,79,44,9
GENE_834,29,93,60,27,81,48,15,79,46,3,67,34
GENE_835,32,1,67,36,92,61,30,96,65,24,90,59
GENE_836,35,6,74,45,6,74,45,16,84,45,16,84
GENE_837,38,11,81,54,17,87,60,33,6,66,39,12
GENE_838,41,16,88,63,28,3,75,50,25,87,62,37
GENE_839,44,21,95,72,39,16,90,67,44,11,85,62
GENE_840,40,12,81,53,15,84,56,28,97,59,31,3
GENE_841,43,17,88,62,26,97,71,45,19,80,54,28
GENE_842,46,22,95,71,37,13,86,62,38,4,77,53
GENE_843,49,27,5,80,48,26,4,79,57,25,3,78
GENE_844,52,32,12,89,59,39,19,96,76,46,26,6
GENE_845,55,37,19,1,70,52,34,16,95,67,49,31
GENE_846,58,42,26,10,81,65,49,33,17,88,72,56
GENE_847,54,33,12,88,57,36,15,91,70,39,18,94
GENE_848,57,38,19,97,68,49,30,11,89,60,41,22
GENE_849,60,43,26,9,79,62,45,28,11,81,64,47
GENE_850,63,48,33,18,90,75,60,45,30,5,87,72
GENE_851,66,53,40,27,4,88,75,62,49,26,13,97
GENE_852,69,58,47,36,15,4,90,79,68,47,36,25
GENE_853,72,63,54,45,26,17,8,96,87,68,59,50
GENE_854,68,54,40,26,2,85,71,57,43,19,5,88
GENE_855,71,59,47,35,13,1,86,74,62,40,28,16
GENE_856,74,64,54,44,24,14,4,91,81,61,51,41
GENE_857,77,69,61,53,35,27,19,11,3,82,74,66
GENE_858,80,74,68,62,46,40,34,28,22,6,97,91
GENE_859,83,79,75,71,57,53,49,45,41,27,23,19
GENE_860,86,84,82,80,68,66,64,62,60,48,46,44
GENE_861,82,75,68,61,44,37,30,23,16,96,89,82
GENE_862,85,80,75,70,55,50,45,40,35,20,15,10
GENE_863,88,85,82,79,66,63,60,57,54,41,38,35
GENE_864,91,90,89,88,77,76,75,74,73,62,61,60
GENE_865,94,95,96,97,88,89,90,91,92,83,84,85
GENE_866,97,3,6,9,2,5,8,11,14,7,10,13
GENE_867,3,8,13,18,13,18,23,28,33,28,33,38
GENE_868,96,96,96,96,86,86,86,86,86,76,76,76
GENE_869,2,4,6,8,97,2,4,6,8,97,2,4
GENE_870,5,9,13,17,11,15,19,23,27,21,25,29
GENE_871,8,14,20,26,22,28,34,40,46,42,48,54
GENE_872,11,19,27,35,33,41,49,57,65,63,71,79
GENE_873,14,24,34,44,44,54,64,74,84,84,94,7
GENE_874,17,29,41,53,55,67,79,91,6,8,20,32
GENE_875,13,20,27,34,31,38,45,52,59,56,63,70
GENE_876,16,25,34,43,42,51,60,69,78,77,86,95
GENE_877,19,30,41,52,53,64,75,86,97,1,12,23
GENE_878,22,35,48,61,64,77,90,6,19,22,35,48
GENE_879,25,40,55,70,75,90,8,23,38,43,58,73
GENE_880,28,45,62,79,86,6,23,40,57,64,81,1
GENE_881,31,50,69,88,97,19,38,57,76,85,7,26
GENE_882,27,41,55,69,73,87,4,18,32,36,50,64
GENE_883,30,46,62,78,84,3,19,35,51,57,73,89
GENE_884,33,51,69,87,95,16,34,52,70,78,96,17
GENE_885,36,56,76,96,9,29,49,69,89,2,22,42
GENE_886,39,61,83,8,20,42,64,86,11,23,45,67
GENE_887,42,66,90,17,31,55,79,6,30,44,68,92
GENE_888,45,71,97,26,42,68,94,23,49,65,91,20
GENE_889,41,62,83,7,18,39,60,81,5,16,37,58
GENE_890,44,67,90,16,29,52,75,1,24,37,60,83
GENE_891,47,72,97,25,40,65,90,18,43,58,83,11
GENE_892,50,77,7,34,51,78,8,35,62,79,9,36
GENE_893,53,82,14,43,62,91,23,52,81,3,32,61
GENE_894,56,87,21,52,73,7,38,69,3,24,55,86
GENE_895,59,92,28,61,84,20,53,86,22,45,78,14
GENE_896,55,83,14,42,60,88,19,47,75,93,24,52
GENE_897,58,88,21,51,71,4,34,64,94,17,47,77
GENE_898,61,93,28,60,82,17,49,81,16,38,70,5
GENE_899,64,1,35,69,93,30,64,1,35,59,93,30
GENE_900,67,6,42,78,7,43,79,18,54,80,19,55
GENE_901,70,11,49,87,18,56,94,35,73,4,42,80
GENE_902,73,16,56,96,29,69,12,52,92,25,65,8
GENE_903,69,7,42,77,5,40,75,13,48,73,11,46
GENE_904,72,12,49,86,16,53,90,30,67,94,34,71
GENE_905,75,17,56,95,27,66,8,47,86,18,57,96
GENE_906,78,22,63,7,38,79,23,64,8,39,80,24
GENE_907,81,27,70,16,49,92,38,81,27,60,6,49
GENE_908,84,32,77,25,60,8,53,1,46,81,29,74
GENE_909,87,37,84,34,71,21,68,18,65,5,52,2
GENE_910,83,28,70,15,47,89,34,76,21,53,95,40
GENE_911,86,33,77,24,58,5,49,93,40,74,21,65
GENE_912,89,38,84,33,69,18,64,13,59,95,44,90
GENE_913,92,43,91,42,80,31,79,30,78,19,67,18
GENE_914,95,48,1,51,91,44,94,47,97,40,90,43
GENE_915,1,53,8,60,5,57,12,64,19,61,16,68
GENE_916,4,58,15,69,16,70,27,81,38,82,39,93
GENE_917,97,49,1,50,89,41,90,42,91,33,82,34
GENE_918,3,54,8,59,3,54,8,59,13,54,8,59
GENE_919,6,59,15,68,14,67,23,76,32,75,31,84
GENE_920,9,64,22,77,25,80,38,93,51,96,54,12
GENE_921,12,69,29,86,36,93,53,13,70,20,77,37
GENE_922,15,74,36,95,47,9,68,30,89,41,3,62
GENE_923,18,79,43,7,58,22,83,47,11,62,26,87
GENE_924,14,70,29,85,34,90,49,8,64,13,69,28
GENE_925,17,75,36,94,45,6,64,25,83,34,92,53
GENE_926,20,80,43,6,56,19,79,42,5,55,18,78
GENE_927,23,85,50,15,67,32,94,59,24,76,41,6
GENE_928,26,90,57,24,78,45,12,76,43,97,64,31
